Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
60,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,120,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32048683,32048683,262144,10125312,1460996,163868020,386377126763537,388819540469234,388819559501010,386377146066678
61,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,122,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,119842595,119842595,524288,1572864,225272,25165824,386377146095158,388819559546731,388819641074310,386377217609121
62,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,124,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,117423970,117423970,524288,2097152,300014,33554536,386377217582131,388819641103368,388819748959173,386377287750047
63,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,126,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,122581266,82024127,525123,3511222,646131,72428096,386377287726227,388819748998213,388819798286689,386377360799084
64,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,128,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,83053189,83053189,524288,2621440,384354,43139512,386377360766054,388819798310599,388819847829637,386377410621968
65,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,130,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32000434,32000434,262144,10125312,1466963,164081000,386377410586448,388819847856837,388819866883813,386377430015429
66,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,132,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,118543618,118543618,524288,1572864,234377,26063184,386377429992019,388819866926884,388819935877378,386377500671880
67,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,134,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,119302437,119302437,524288,2097152,303768,34034604,386377500668340,388819935903290,388820022242687,386377571995424
68,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,136,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,81047253,81047253,524288,2621440,373755,41943068,386377571988784,388820022270047,388820071701404,386377620405072
69,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,138,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,80737328,80737328,524288,2621440,373172,41943088,386377620412432,388820071723219,388820118707064,386377668647671
70,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,140,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32067330,32067330,262144,10125312,1444396,162087448,386377668642701,388820118728984,388820160521805,386377687998183
71,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,142,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,153660961,119752314,524304,1574063,286478,32095928,386377688030212,388820160580539,388820231550388,386377779583719
72,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,144,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,120501888,120501888,524288,2097152,303834,34023680,386377779595789,388820231581463,388820308523770,386377851640996
